,dato,fecha
477,20.64750,2016-11-25
478,20.55210,2016-11-28
479,20.62250,2016-11-29
480,20.51550,2016-11-30
481,20.74880,2016-12-01
482,20.61490,2016-12-02
483,20.59270,2016-12-05
484,20.38630,2016-12-06
485,20.29670,2016-12-07
486,20.41620,2016-12-08
487,20.33050,2016-12-09
488,20.25670,2016-12-13
489,20.22260,2016-12-14
490,20.59730,2016-12-15
491,20.42800,2016-12-16
492,20.40980,2016-12-19
493,20.43000,2016-12-20
494,20.49210,2016-12-21
495,20.71790,2016-12-22
496,20.62710,2016-12-23
497,20.64450,2016-12-26
498,20.70520,2016-12-27
499,20.73140,2016-12-28
500,20.66400,2016-12-29
501,20.61940,2016-12-30
502,20.73230,2017-01-02
503,20.85200,2017-01-03
504,21.37990,2017-01-04
505,21.36610,2017-01-05
506,21.31440,2017-01-06
507,21.32190,2017-01-09
508,21.61680,2017-01-10
509,21.90760,2017-01-11
510,21.72040,2017-01-12
511,21.63300,2017-01-13
512,21.66430,2017-01-16
513,21.57380,2017-01-17
514,21.85140,2017-01-18
515,21.90440,2017-01-19
516,21.70020,2017-01-20
517,21.45120,2017-01-23
518,21.36920,2017-01-24
519,21.34390,2017-01-25
520,21.20240,2017-01-26
521,21.02120,2017-01-27
522,20.75880,2017-01-30
523,20.79080,2017-01-31
524,20.77520,2017-02-01
525,20.57570,2017-02-02
526,20.34390,2017-02-03
527,20.63700,2017-02-07
528,20.49940,2017-02-08
529,20.41630,2017-02-09
530,20.35350,2017-02-10
531,20.32800,2017-02-13
532,20.35070,2017-02-14
533,20.32540,2017-02-15
534,20.33250,2017-02-16
535,20.45260,2017-02-17
536,20.40590,2017-02-20
537,20.44890,2017-02-21
538,19.91270,2017-02-22
539,19.70110,2017-02-23
540,19.83350,2017-02-24
541,19.83220,2017-02-27
542,19.99570,2017-02-28
543,19.90070,2017-03-01
544,19.93730,2017-03-02
545,19.61470,2017-03-03
546,19.55380,2017-03-06
547,19.52100,2017-03-07
548,19.60070,2017-03-08
549,19.79740,2017-03-09
550,19.62790,2017-03-10
551,19.58030,2017-03-13
552,19.65430,2017-03-14
553,19.44930,2017-03-15
554,19.17300,2017-03-16
555,19.11700,2017-03-17
556,19.10700,2017-03-21
557,19.08370,2017-03-22
558,18.98770,2017-03-23
559,18.85280,2017-03-24
560,18.86610,2017-03-27
561,18.88530,2017-03-28
562,18.80920,2017-03-29
563,18.70790,2017-03-30
564,18.79550,2017-03-31
565,18.73200,2017-04-03
566,18.83340,2017-04-04
567,18.71920,2017-04-05
568,18.76960,2017-04-06
569,18.65600,2017-04-07
570,18.69230,2017-04-10
571,18.76460,2017-04-11
572,18.75280,2017-04-12
573,18.55820,2017-04-17
574,18.48630,2017-04-18
575,18.83740,2017-04-19
576,18.81870,2017-04-20
577,18.84130,2017-04-21
578,18.65210,2017-04-24
579,18.92250,2017-04-25
580,19.11190,2017-04-26
581,19.06700,2017-04-27
582,18.95940,2017-04-28
583,18.77310,2017-05-02
584,18.80310,2017-05-03
585,19.00190,2017-05-04
586,19.01370,2017-05-05
587,19.11640,2017-05-08
588,19.13640,2017-05-09
589,18.95870,2017-05-10
590,18.90390,2017-05-11
591,18.75940,2017-05-12
592,18.67000,2017-05-15
593,18.61830,2017-05-16
594,18.67610,2017-05-17
595,18.88980,2017-05-18
596,18.68590,2017-05-19
597,18.66330,2017-05-22
598,18.61500,2017-05-23
599,18.56890,2017-05-24
600,18.41850,2017-05-25
601,18.48490,2017-05-26
602,18.51210,2017-05-29
603,18.66430,2017-05-30
604,18.69090,2017-05-31
605,18.59410,2017-06-01
606,18.62040,2017-06-02
607,18.38190,2017-06-05
608,18.27620,2017-06-06
609,18.22780,2017-06-07
610,18.19460,2017-06-08
611,18.19390,2017-06-09
612,18.18020,2017-06-12
613,18.07250,2017-06-13
614,17.93430,2017-06-14
615,18.11540,2017-06-15
616,17.93210,2017-06-16
617,17.95190,2017-06-19
618,18.11670,2017-06-20
619,18.15700,2017-06-21
620,18.12700,2017-06-22
621,17.99000,2017-06-23
622,17.87750,2017-06-26
623,17.98620,2017-06-27
624,17.89730,2017-06-28
625,18.02790,2017-06-29
626,18.06260,2017-06-30
627,18.20640,2017-07-03
628,18.20360,2017-07-04
629,18.35560,2017-07-05
630,18.32270,2017-07-06
631,18.13940,2017-07-07
632,17.97510,2017-07-10
633,17.94820,2017-07-11
634,17.77080,2017-07-12
635,17.74220,2017-07-13
636,17.56130,2017-07-14
637,17.58360,2017-07-17
638,17.51340,2017-07-18
639,17.49370,2017-07-19
640,17.52600,2017-07-20
641,17.56180,2017-07-21
642,17.68930,2017-07-24
643,17.74920,2017-07-25
644,17.75610,2017-07-26
645,17.68860,2017-07-27
646,17.74350,2017-07-28
647,17.86460,2017-07-31
648,17.81080,2017-08-01
649,17.86960,2017-08-02
650,17.87330,2017-08-03
651,17.87980,2017-08-04
652,17.96410,2017-08-07
653,17.91600,2017-08-08
654,17.96710,2017-08-09
655,17.90730,2017-08-10
656,17.84700,2017-08-11
657,17.77550,2017-08-14
658,17.84830,2017-08-15
659,17.71600,2017-08-16
660,17.73240,2017-08-17
661,17.85840,2017-08-18
662,17.65010,2017-08-21
663,17.64580,2017-08-22
664,17.71130,2017-08-23
665,17.69770,2017-08-24
666,17.62050,2017-08-25
667,17.80490,2017-08-28
668,17.87600,2017-08-29
669,17.77530,2017-08-30
670,17.81450,2017-08-31
671,17.78610,2017-09-01
672,17.86830,2017-09-04
673,17.83600,2017-09-05
674,17.81360,2017-09-06
675,17.69650,2017-09-07
676,17.73310,2017-09-08
677,17.64430,2017-09-11
678,17.78100,2017-09-12
679,17.78360,2017-09-13
680,17.72780,2017-09-14
681,17.68570,2017-09-15
682,17.76100,2017-09-18
683,17.76430,2017-09-19
684,17.70090,2017-09-20
685,17.85450,2017-09-21
686,17.74870,2017-09-22
687,17.88310,2017-09-25
688,17.99330,2017-09-26
689,18.13000,2017-09-27
690,18.19790,2017-09-28
691,18.15900,2017-09-29
692,18.23370,2017-10-02
693,18.21130,2017-10-03
694,18.22820,2017-10-04
695,18.30600,2017-10-05
696,18.55220,2017-10-06
697,18.66460,2017-10-09
698,18.63270,2017-10-10
699,18.71800,2017-10-11
700,18.76310,2017-10-12
701,18.90080,2017-10-13
702,19.07530,2017-10-16
703,19.01170,2017-10-17
704,18.88690,2017-10-18
705,18.82480,2017-10-19
706,19.00800,2017-10-20
707,19.04890,2017-10-23
708,19.20090,2017-10-24
709,19.07700,2017-10-25
710,19.09600,2017-10-26
711,19.14740,2017-10-27
712,19.21880,2017-10-30
713,19.14780,2017-10-31
714,19.12410,2017-11-01
715,19.18500,2017-11-03
716,19.08140,2017-11-06
717,19.13490,2017-11-07
718,19.07180,2017-11-08
719,19.09000,2017-11-09
720,19.05260,2017-11-10
721,19.16800,2017-11-13
722,19.13340,2017-11-14
723,19.22680,2017-11-15
724,19.12240,2017-11-16
725,18.97240,2017-11-17
726,18.82420,2017-11-21
727,18.74000,2017-11-22
728,18.60410,2017-11-23
729,18.53790,2017-11-24
730,18.52000,2017-11-27
731,18.58480,2017-11-28
732,18.51900,2017-11-29
733,18.62290,2017-11-30
734,18.63990,2017-12-01
735,18.64200,2017-12-04
736,18.69580,2017-12-05
737,18.88970,2017-12-06
738,18.93150,2017-12-07
739,18.94450,2017-12-08
740,18.97400,2017-12-11
741,19.13910,2017-12-13
742,19.12020,2017-12-14
743,19.12890,2017-12-15
744,19.02890,2017-12-18
745,19.19130,2017-12-19
746,19.22910,2017-12-20
747,19.39620,2017-12-21
748,19.58480,2017-12-22
749,19.72230,2017-12-26
750,19.78670,2017-12-27
751,19.73540,2017-12-28
752,19.66290,2017-12-29
753,19.48990,2018-01-02
754,19.37170,2018-01-03
755,19.24270,2018-01-04
756,19.27370,2018-01-05
757,19.23230,2018-01-08
758,19.30650,2018-01-09
759,19.24050,2018-01-10
760,19.34330,2018-01-11
761,19.04460,2018-01-12
762,18.81130,2018-01-15
763,18.83620,2018-01-16
764,18.65500,2018-01-17
765,18.63610,2018-01-18
766,18.58130,2018-01-19
767,18.71180,2018-01-22
768,18.79800,2018-01-23
769,18.51780,2018-01-24
770,18.47800,2018-01-25
771,18.46720,2018-01-26
772,18.61960,2018-01-29
773,18.69820,2018-01-30
774,18.60690,2018-01-31
775,18.40040,2018-02-01
776,18.52480,2018-02-02
777,18.70090,2018-02-06
778,18.64920,2018-02-07
779,18.88150,2018-02-08
780,18.86230,2018-02-09
781,18.67030,2018-02-12
782,18.62690,2018-02-13
783,18.60250,2018-02-14
784,18.51590,2018-02-15
785,18.47970,2018-02-16
786,18.53600,2018-02-19
787,18.65940,2018-02-20
788,18.65180,2018-02-21
789,18.65740,2018-02-22
790,18.56590,2018-02-23
791,18.64560,2018-02-26
792,18.79020,2018-02-27
793,18.83310,2018-02-28
794,18.86100,2018-03-01
795,18.89090,2018-03-02
796,18.88380,2018-03-05
797,18.72460,2018-03-06
798,18.79220,2018-03-07
799,18.71480,2018-03-08
800,18.58120,2018-03-09
801,18.61990,2018-03-12
802,18.56040,2018-03-13
803,18.58540,2018-03-14
804,18.70230,2018-03-15
805,18.72160,2018-03-16
806,18.76140,2018-03-20
807,18.60010,2018-03-21
808,18.50780,2018-03-22
809,18.53640,2018-03-23
810,18.32680,2018-03-26
