peso_mex,date
18.8523,09/01/2016
18.6589,09/02/2016
18.5581,09/05/2016
18.3524,09/06/2016
18.3689,09/07/2016
18.5427,09/08/2016
18.8451,09/09/2016
19.0646,09/12/2016
19.152,13/09/2016
19.2275,14/09/2016
19.2514,15/09/2016
19.6097,19/09/2016
19.777,20/09/2016
19.8394,21/09/2016
19.5965,22/09/2016
19.7211,23/09/2016
19.8322,26/09/2016
19.5044,27/09/2016
19.5002,28/09/2016
19.4086,29/09/2016
19.3776,30/09/2016
19.3211,10/03/2016
19.2138,10/04/2016
19.2554,10/05/2016
19.2433,10/06/2016
19.2994,10/07/2016
18.8786,10/10/2016
18.9531,10/11/2016
18.9622,10/12/2016
19.0399,13/10/2016
19.0046,14/10/2016
18.8723,17/10/2016
18.6726,18/10/2016
18.5894,19/10/2016
18.5945,20/10/2016
18.6481,21/10/2016
18.5658,24/10/2016
18.5147,25/10/2016
18.6485,26/10/2016
18.8443,27/10/2016
18.7304,28/10/2016
18.8887,31/10/2016
19.1306,11/01/2016
19.2014,11/03/2016
19.0792,11/04/2016
18.6192,11/07/2016
18.5089,11/08/2016
19.925,11/09/2016
20.4812,11/10/2016
21.0511,11/11/2016
20.8729,14/11/2016
20.349,15/11/2016
20.2884,16/11/2016
20.1898,17/11/2016
20.4193,18/11/2016
20.5205,22/11/2016
20.6901,23/11/2016
20.7051,24/11/2016
20.6475,25/11/2016
20.5521,28/11/2016
20.6225,29/11/2016
20.5155,30/11/2016
20.7488,12/01/2016
20.6149,12/02/2016
20.5927,12/05/2016
20.3863,12/06/2016
20.2967,12/07/2016
20.4162,12/08/2016
20.3305,12/09/2016
20.2567,13/12/2016
20.2226,14/12/2016
20.5973,15/12/2016
20.428,16/12/2016
20.4098,19/12/2016
20.43,20/12/2016
20.4921,21/12/2016
20.7179,22/12/2016
20.6271,23/12/2016
20.6445,26/12/2016
20.7052,27/12/2016
20.7314,28/12/2016
20.664,29/12/2016
20.6194,30/12/2016
20.7323,01/02/2017
20.852,01/03/2017
21.3799,01/04/2017
21.3661,01/05/2017
21.3144,01/06/2017
21.3219,01/09/2017
21.6168,01/10/2017
21.9076,01/11/2017
21.7204,01/12/2017
21.633,13/01/2017
21.6643,16/01/2017
21.5738,17/01/2017
21.8514,18/01/2017
21.9044,19/01/2017
21.7002,20/01/2017
21.4512,23/01/2017
21.3692,24/01/2017
21.3439,25/01/2017
21.2024,26/01/2017
21.0212,27/01/2017
20.7588,30/01/2017
20.7908,31/01/2017
20.7752,02/01/2017
20.5757,02/02/2017
20.3439,02/03/2017
20.637,02/07/2017
20.4994,02/08/2017
20.4163,02/09/2017
20.3535,02/10/2017
20.328,13/02/2017
20.3507,14/02/2017
20.3254,15/02/2017
20.3325,16/02/2017
20.4526,17/02/2017
20.4059,20/02/2017
20.4489,21/02/2017
19.9127,22/02/2017
19.7011,23/02/2017
19.8335,24/02/2017
19.8322,27/02/2017
19.9957,28/02/2017
19.9007,03/01/2017
19.9373,03/02/2017
19.6147,03/03/2017
19.5538,03/06/2017
19.521,03/07/2017
19.6007,03/08/2017
19.7974,03/09/2017
19.6279,03/10/2017
19.5803,13/03/2017
19.6543,14/03/2017
19.4493,15/03/2017
19.173,16/03/2017
19.117,17/03/2017
19.107,21/03/2017
19.0837,22/03/2017
